timestamp=2026-01-31T06:30:29.659653218Z
send_ack_total_ms=508164

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84392, avg_ms_per_topic=168
batch_2_range=501~1000, elapsed_ms=86659, avg_ms_per_topic=173
batch_3_range=1001~1500, elapsed_ms=82037, avg_ms_per_topic=164
batch_4_range=1501~2000, elapsed_ms=88453, avg_ms_per_topic=176
batch_5_range=2001~2500, elapsed_ms=84505, avg_ms_per_topic=169
batch_6_range=2501~3000, elapsed_ms=87225, avg_ms_per_topic=174

=== Per Message Details ===
send_ack_ms_341=153, topic_create_ms=0
send_ack_ms_342=153, topic_create_ms=0
send_ack_ms_343=153, topic_create_ms=0
send_ack_ms_344=148, topic_create_ms=0
send_ack_ms_345=154, topic_create_ms=0
send_ack_ms_346=155, topic_create_ms=0
send_ack_ms_347=151, topic_create_ms=0
send_ack_ms_348=191, topic_create_ms=0
send_ack_ms_349=212, topic_create_ms=0
send_ack_ms_350=281, topic_create_ms=0
send_ack_ms_351=287, topic_create_ms=0
send_ack_ms_352=222, topic_create_ms=0
send_ack_ms_353=281, topic_create_ms=0
send_ack_ms_354=194, topic_create_ms=0
send_ack_ms_355=153, topic_create_ms=0
send_ack_ms_356=154, topic_create_ms=0
send_ack_ms_357=153, topic_create_ms=0
send_ack_ms_358=159, topic_create_ms=0
send_ack_ms_359=164, topic_create_ms=0
send_ack_ms_360=166, topic_create_ms=0
send_ack_ms_361=156, topic_create_ms=0
send_ack_ms_362=151, topic_create_ms=0
send_ack_ms_363=164, topic_create_ms=0
send_ack_ms_364=151, topic_create_ms=0
send_ack_ms_365=161, topic_create_ms=0
send_ack_ms_366=150, topic_create_ms=0
send_ack_ms_367=160, topic_create_ms=0
send_ack_ms_368=154, topic_create_ms=0
send_ack_ms_369=158, topic_create_ms=0
send_ack_ms_370=157, topic_create_ms=0
send_ack_ms_371=157, topic_create_ms=0
send_ack_ms_372=156, topic_create_ms=0
send_ack_ms_373=151, topic_create_ms=0
send_ack_ms_374=156, topic_create_ms=0
send_ack_ms_375=157, topic_create_ms=0
send_ack_ms_376=149, topic_create_ms=0
send_ack_ms_377=158, topic_create_ms=0
send_ack_ms_378=155, topic_create_ms=0
send_ack_ms_379=173, topic_create_ms=0
send_ack_ms_380=156, topic_create_ms=0
send_ack_ms_381=163, topic_create_ms=0
