timestamp=2026-01-31T06:36:35.051891637Z
send_ack_total_ms=213648

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=51388, avg_ms_per_topic=102
batch_2_range=501~1000, elapsed_ms=54950, avg_ms_per_topic=109
batch_3_range=1001~1500, elapsed_ms=49264, avg_ms_per_topic=98
batch_4_range=1501~2000, elapsed_ms=50232, avg_ms_per_topic=100
batch_5_range=2001~2500, elapsed_ms=48796, avg_ms_per_topic=97
batch_6_range=2501~3000, elapsed_ms=56556, avg_ms_per_topic=113

=== Per Message Details ===
send_ack_ms_245=37, topic_create_ms=29
send_ack_ms_246=37, topic_create_ms=28
send_ack_ms_247=34, topic_create_ms=9
send_ack_ms_248=42, topic_create_ms=28
send_ack_ms_249=35, topic_create_ms=27
send_ack_ms_250=34, topic_create_ms=28
send_ack_ms_251=35, topic_create_ms=27
send_ack_ms_252=35, topic_create_ms=29
send_ack_ms_253=34, topic_create_ms=30
send_ack_ms_254=35, topic_create_ms=28
send_ack_ms_255=34, topic_create_ms=28
send_ack_ms_256=36, topic_create_ms=29
send_ack_ms_257=34, topic_create_ms=28
send_ack_ms_258=2064, topic_create_ms=28
send_ack_ms_259=45, topic_create_ms=32
send_ack_ms_260=34, topic_create_ms=29
send_ack_ms_261=36, topic_create_ms=27
send_ack_ms_262=36, topic_create_ms=28
send_ack_ms_263=34, topic_create_ms=27
send_ack_ms_264=37, topic_create_ms=28
send_ack_ms_265=34, topic_create_ms=29
send_ack_ms_266=35, topic_create_ms=28
send_ack_ms_267=33, topic_create_ms=31
send_ack_ms_268=33, topic_create_ms=27
send_ack_ms_269=33, topic_create_ms=29
send_ack_ms_270=34, topic_create_ms=27
send_ack_ms_271=35, topic_create_ms=29
send_ack_ms_272=36, topic_create_ms=28
send_ack_ms_273=35, topic_create_ms=29
send_ack_ms_274=42, topic_create_ms=28
send_ack_ms_275=33, topic_create_ms=28
send_ack_ms_276=32, topic_create_ms=27
send_ack_ms_277=34, topic_create_ms=18
send_ack_ms_278=31, topic_create_ms=27
