timestamp=2026-01-31T06:21:33.681260220Z
send_ack_total_ms=520557

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84962, avg_ms_per_topic=169
batch_2_range=501~1000, elapsed_ms=84795, avg_ms_per_topic=169
batch_3_range=1001~1500, elapsed_ms=86318, avg_ms_per_topic=172
batch_4_range=1501~2000, elapsed_ms=89074, avg_ms_per_topic=178
batch_5_range=2001~2500, elapsed_ms=87465, avg_ms_per_topic=174
batch_6_range=2501~3000, elapsed_ms=93157, avg_ms_per_topic=186

=== Per Message Details ===
send_ack_ms_304=153, topic_create_ms=0
send_ack_ms_305=158, topic_create_ms=0
send_ack_ms_306=153, topic_create_ms=0
send_ack_ms_307=164, topic_create_ms=0
send_ack_ms_308=166, topic_create_ms=0
send_ack_ms_309=158, topic_create_ms=0
send_ack_ms_310=556, topic_create_ms=0
send_ack_ms_311=167, topic_create_ms=0
send_ack_ms_312=154, topic_create_ms=0
send_ack_ms_313=152, topic_create_ms=0
send_ack_ms_314=150, topic_create_ms=0
send_ack_ms_315=145, topic_create_ms=0
send_ack_ms_316=146, topic_create_ms=0
send_ack_ms_317=161, topic_create_ms=0
send_ack_ms_318=165, topic_create_ms=0
send_ack_ms_319=166, topic_create_ms=0
send_ack_ms_320=156, topic_create_ms=0
send_ack_ms_321=158, topic_create_ms=0
send_ack_ms_322=160, topic_create_ms=0
send_ack_ms_323=162, topic_create_ms=0
send_ack_ms_324=166, topic_create_ms=0
send_ack_ms_325=160, topic_create_ms=0
send_ack_ms_326=187, topic_create_ms=0
send_ack_ms_327=150, topic_create_ms=0
send_ack_ms_328=156, topic_create_ms=0
send_ack_ms_329=159, topic_create_ms=0
send_ack_ms_330=157, topic_create_ms=0
send_ack_ms_331=162, topic_create_ms=0
send_ack_ms_332=164, topic_create_ms=0
send_ack_ms_333=158, topic_create_ms=0
send_ack_ms_334=172, topic_create_ms=0
send_ack_ms_335=153, topic_create_ms=0
send_ack_ms_336=251, topic_create_ms=0
send_ack_ms_337=215, topic_create_ms=0
send_ack_ms_338=283, topic_create_ms=0
send_ack_ms_339=213, topic_create_ms=0
send_ack_ms_340=196, topic_create_ms=0
send_ack_ms_341=199, topic_create_ms=0
send_ack_ms_342=201, topic_create_ms=0
send_ack_ms_343=154, topic_create_ms=0
send_ack_ms_344=150, topic_create_ms=0
send_ack_ms_345=158, topic_create_ms=0
send_ack_ms_346=150, topic_create_ms=0
send_ack_ms_347=163, topic_create_ms=0
send_ack_ms_348=147, topic_create_ms=0
send_ack_ms_349=144, topic_create_ms=0
send_ack_ms_350=156, topic_create_ms=0
send_ack_ms_351=161, topic_create_ms=0
send_ack_ms_352=183, topic_create_ms=0
send_ack_ms_353=153, topic_create_ms=0
send_ack_ms_354=152, topic_create_ms=0
send_ack_ms_355=147, topic_create_ms=0
send_ack_ms_356=143, topic_create_ms=0
send_ack_ms_357=157, topic_create_ms=0
send_ack_ms_358=160, topic_create_ms=0
send_ack_ms_359=155, topic_create_ms=0
send_ack_ms_360=152, topic_create_ms=0
send_ack_ms_361=152, topic_create_ms=0
send_ack_ms_362=145, topic_create_ms=0
send_ack_ms_363=152, topic_create_ms=0
send_ack_ms_364=154, topic_create_ms=0
send_ack_ms_365=147, topic_create_ms=0
send_ack_ms_366=161, topic_create_ms=0
send_ack_ms_367=164, topic_create_ms=0
send_ack_ms_368=152, topic_create_ms=0
send_ack_ms_369=156, topic_create_ms=0
send_ack_ms_370=159, topic_create_ms=0
send_ack_ms_371=164, topic_create_ms=0
send_ack_ms_372=149, topic_create_ms=0
send_ack_ms_373=149, topic_create_ms=0
send_ack_ms_374=148, topic_create_ms=0
send_ack_ms_375=151, topic_create_ms=0
send_ack_ms_376=159, topic_create_ms=0
send_ack_ms_377=165, topic_create_ms=0
send_ack_ms_378=173, topic_create_ms=0
send_ack_ms_379=160, topic_create_ms=0
send_ack_ms_380=158, topic_create_ms=0
send_ack_ms_381=164, topic_create_ms=0
send_ack_ms_382=158, topic_create_ms=0
send_ack_ms_383=156, topic_create_ms=0
send_ack_ms_384=159, topic_create_ms=0
send_ack_ms_385=157, topic_create_ms=0
send_ack_ms_386=155, topic_create_ms=0
send_ack_ms_387=147, topic_create_ms=0
send_ack_ms_388=159, topic_create_ms=0
send_ack_ms_389=165, topic_create_ms=0
send_ack_ms_390=165, topic_create_ms=0
send_ack_ms_391=167, topic_create_ms=0
send_ack_ms_392=155, topic_create_ms=0
send_ack_ms_393=165, topic_create_ms=0
send_ack_ms_394=176, topic_create_ms=0
send_ack_ms_395=140, topic_create_ms=0
send_ack_ms_396=156, topic_create_ms=0
send_ack_ms_397=231, topic_create_ms=0
send_ack_ms_398=151, topic_create_ms=0
send_ack_ms_399=137, topic_create_ms=0
send_ack_ms_400=158, topic_create_ms=0
send_ack_ms_401=157, topic_create_ms=0
send_ack_ms_402=163, topic_create_ms=0
send_ack_ms_403=161, topic_create_ms=0
send_ack_ms_404=160, topic_create_ms=0
send_ack_ms_405=154, topic_create_ms=0
send_ack_ms_406=160, topic_create_ms=0
send_ack_ms_407=156, topic_create_ms=0
send_ack_ms_408=152, topic_create_ms=0
send_ack_ms_409=241, topic_create_ms=0
send_ack_ms_410=211, topic_create_ms=0
send_ack_ms_411=290, topic_create_ms=0
send_ack_ms_412=209, topic_create_ms=0
send_ack_ms_413=212, topic_create_ms=0
send_ack_ms_414=192, topic_create_ms=0
send_ack_ms_415=205, topic_create_ms=0
send_ack_ms_416=153, topic_create_ms=0
send_ack_ms_417=161, topic_create_ms=0
send_ack_ms_418=158, topic_create_ms=0
send_ack_ms_419=158, topic_create_ms=0
send_ack_ms_420=155, topic_create_ms=0
send_ack_ms_421=166, topic_create_ms=0
send_ack_ms_422=157, topic_create_ms=0
send_ack_ms_423=141, topic_create_ms=0
send_ack_ms_424=137, topic_create_ms=0
send_ack_ms_425=159, topic_create_ms=0
send_ack_ms_426=154, topic_create_ms=0
send_ack_ms_427=155, topic_create_ms=0
send_ack_ms_428=157, topic_create_ms=0
send_ack_ms_429=148, topic_create_ms=0
send_ack_ms_430=170, topic_create_ms=0
send_ack_ms_431=159, topic_create_ms=0
send_ack_ms_432=157, topic_create_ms=0
send_ack_ms_433=156, topic_create_ms=0
send_ack_ms_434=153, topic_create_ms=0
